 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 1.00000000e-09  1.00000000e-03  1.00000000e-09  1.82232935e-04  1.00000000e-09  7.85178919e-04  1.00000000e-09 -2.30937405e-03  1.00000000e-09  6.73689710e-04  1.00000000e-09  7.11604341e-06 
 1.02794806e-09  1.02794806e-03  1.02794806e-09  1.84422360e-04  1.02794806e-09  8.06438274e-04  1.02794806e-09 -2.35561500e-03  1.02794806e-09  6.92570202e-04  1.02794806e-09  7.31640042e-06 
 1.08384417e-09  1.08384417e-03  1.08384417e-09  1.86321864e-04  1.08384417e-09  8.48410538e-04  1.08384417e-09 -2.41131255e-03  1.08384417e-09  7.30361957e-04  1.08384417e-09  7.71853091e-06 
 1.19563641e-09  1.19563641e-03  1.19563641e-09  1.85994530e-04  1.19563641e-09  9.31472647e-04  1.19563641e-09 -2.46955848e-03  1.19563641e-09  8.06005965e-04  1.19563641e-09  8.52511614e-06 
 1.41922087e-09  1.41922087e-03  1.41922087e-09  1.86133588e-04  1.41922087e-09  1.09800710e-03  1.41922087e-09 -2.43312459e-03  1.41922087e-09  9.57564898e-04  1.41922087e-09  1.01490784e-05 
 1.72904793e-09  1.72904793e-03  1.72904793e-09  1.85986210e-04  1.72904793e-09  1.32910223e-03  1.72904793e-09 -2.21339311e-03  1.72904793e-09  1.16800580e-03  1.72904793e-09  1.24156947e-05 
 2.34870204e-09  2.34870204e-03  2.34870204e-09  1.86017532e-04  2.34870204e-09  1.79250523e-03  2.34870204e-09 -1.67678108e-03  2.34870204e-09  1.58987355e-03  2.34870204e-09  1.69840446e-05 
 3.58801025e-09  3.58801025e-03  3.58801025e-09  1.85820136e-04  3.58801025e-09  2.72330741e-03  3.58801025e-09 -8.47315141e-04  3.58801025e-09  2.43676300e-03  3.58801025e-09  2.62185259e-05 
 6.06662669e-09  6.06662669e-03  6.06662669e-09  1.85692504e-04  6.06662669e-09  4.60014886e-03  6.06662669e-09 -1.12604962e-04  6.06662669e-09  4.14195642e-03  6.06662669e-09  4.49786440e-05 
 1.10238596e-08  1.10238596e-02  1.10238596e-08  1.85226707e-04  1.10238596e-08  8.40941243e-03  1.10238596e-08  1.14188884e-04  1.10238596e-08  7.59206601e-03  1.10238596e-08  8.32810626e-05 
 1.81745585e-08  1.81745585e-02  1.81745585e-08  1.84754978e-04  1.81745585e-08  1.40190230e-02  1.81745585e-08  8.41819051e-05  1.81745585e-08  1.26396963e-02  1.81745585e-08  1.39587302e-04 
 3.05757312e-08  3.05757312e-02  3.05757312e-08  1.83742623e-04  3.05757312e-08  2.40191427e-02  3.05757312e-08  9.44970870e-05  3.05757312e-08  2.15185484e-02  3.05757312e-08  2.38692537e-04 
 5.53780766e-08  5.53780766e-02  5.53780766e-08  1.81995396e-04  5.53780766e-08  4.48553397e-02  5.53780766e-08  8.95311647e-05  5.53780766e-08  3.95111416e-02  5.53780766e-08  4.39225441e-04 
 1.00000000e-07  1.00000000e-01  1.00000000e-07  1.78772905e-04  1.00000000e-07  8.44268008e-02  1.00000000e-07  9.68306806e-05  1.00000000e-07  7.22071823e-02  1.00000000e-07  7.98102361e-04 
 1.04960469e-07  1.04960469e-01  1.04960469e-07  1.78469690e-04  1.04960469e-07  8.89761380e-02  1.04960469e-07  9.45861603e-05  1.04960469e-07  7.58575149e-02  1.04960469e-07  8.37298371e-04 
 1.14881407e-07  1.14881407e-01  1.14881407e-07  1.77791347e-04  1.14881407e-07  9.81154408e-02  1.14881407e-07  9.41303361e-05  1.14881407e-07  8.31667425e-02  1.14881407e-07  9.15081904e-04 
